LEXXW;GXIIW;CODI_B;FTHM;INQQ;
0.842713;0.842713;0.842713;0.842713;0.842713;
0.857095;0.857095;0.857095;0.857095;0.857095;
0.9247;0.9247;0.9247;0.9247;0.9247;
0.955637;0.955637;0.955637;0.955637;0.955637;
0.962025;0.962025;0.962025;0.962025;0.962025;
0.952761;0.952761;0.952761;0.952761;0.952761;
1.02471;1.02471;1.02471;1.02471;1.02471;
0.968777;0.968777;0.968777;0.968777;0.968777;
0.893217;0.893217;0.893217;0.893217;0.893217;
0.855557;0.855557;0.855557;0.855557;0.855557;
0.85268;0.85268;0.85268;0.85268;0.85268;
0.868728;0.868728;0.868728;0.868728;0.868728;
0.946488;0.946488;0.946488;0.946488;0.946488;
0.922741;0.922741;0.922741;0.922741;0.922741;
0.928794;0.928794;0.928794;0.928794;0.928794;
0.92652;0.92652;0.92652;0.92652;0.92652;
0.979299;0.979299;0.979299;0.979299;0.979299;
0.914854;0.914854;0.914854;0.914854;0.914854;
0.886317;0.886317;0.886317;0.886317;0.886317;
0.949763;0.949763;0.949763;0.949763;0.949763;
1.02931;1.02931;1.02931;1.02931;1.02931;
1.09457;1.09457;1.09457;1.09457;1.09457;
1.00819;1.00819;1.00819;1.00819;1.00819;
1.05839;1.05839;1.05839;1.05839;1.05839;
0.982171;0.982171;0.982171;0.982171;0.982171;
1.05846;1.05846;1.05846;1.05846;1.05846;
1.05599;1.05599;1.05599;1.05599;1.05599;
1.03727;1.03727;1.03727;1.03727;1.03727;
1.06745;1.06745;1.06745;1.06745;1.06745;
1.13639;1.13639;1.13639;1.13639;1.13639;
1.12948;1.12948;1.12948;1.12948;1.12948;
1.0405;1.0405;1.0405;1.0405;1.0405;
0.968941;0.968941;0.968941;0.968941;0.968941;
0.942717;0.942717;0.942717;0.942717;0.942717;
0.884411;0.884411;0.884411;0.884411;0.884411;
0.898468;0.898468;0.898468;0.898468;0.898468;
0.909327;0.909327;0.909327;0.909327;0.909327;
0.968131;0.968131;0.968131;0.968131;0.968131;
0.94959;0.94959;0.94959;0.94959;0.94959;
0.922909;0.922909;0.922909;0.922909;0.922909;
0.930149;0.930149;0.930149;0.930149;0.930149;
0.886011;0.886011;0.886011;0.886011;0.886011;
0.97267;0.97267;0.97267;0.97267;0.97267;
0.924728;0.924728;0.924728;0.924728;0.924728;
0.843983;0.843983;0.843983;0.843983;0.843983;
0.86107;0.86107;0.86107;0.86107;0.86107;
0.897874;0.897874;0.897874;0.897874;0.897874;
0.928261;0.928261;0.928261;0.928261;0.928261;
0.889273;0.889273;0.889273;0.889273;0.889273;
0.821;0.821;0.821;0.821;0.821;
0.804994;0.804994;0.804994;0.804994;0.804994;
0.855971;0.855971;0.855971;0.855971;0.855971;
0.876136;0.876136;0.876136;0.876136;0.876136;
0.93308;0.93308;0.93308;0.93308;0.93308;
1.01475;1.01475;1.01475;1.01475;1.01475;
1.02435;1.02435;1.02435;1.02435;1.02435;
1.01835;1.01835;1.01835;1.01835;1.01835;
0.99986;0.99986;0.99986;0.99986;0.99986;
1.06433;1.06433;1.06433;1.06433;1.06433;
0.990434;0.990434;0.990434;0.990434;0.990434;
1.06009;1.06009;1.06009;1.06009;1.06009;
1.02607;1.02607;1.02607;1.02607;1.02607;
1.05684;1.05684;1.05684;1.05684;1.05684;
1.08165;1.08165;1.08165;1.08165;1.08165;
1.12237;1.12237;1.12237;1.12237;1.12237;
1.05323;1.05323;1.05323;1.05323;1.05323;
1.09721;1.09721;1.09721;1.09721;1.09721;
1.08438;1.08438;1.08438;1.08438;1.08438;
1.04392;1.04392;1.04392;1.04392;1.04392;
1.0695;1.0695;1.0695;1.0695;1.0695;
0.991307;0.991307;0.991307;0.991307;0.991307;
0.991411;0.991411;0.991411;0.991411;0.991411;
1.05205;1.05205;1.05205;1.05205;1.05205;
0.995599;0.995599;0.995599;0.995599;0.995599;
0.931098;0.931098;0.931098;0.931098;0.931098;
0.850414;0.850414;0.850414;0.850414;0.850414;
0.911347;0.911347;0.911347;0.911347;0.911347;
0.836097;0.836097;0.836097;0.836097;0.836097;
0.855136;0.855136;0.855136;0.855136;0.855136;
0.844234;0.844234;0.844234;0.844234;0.844234;
0.925047;0.925047;0.925047;0.925047;0.925047;
0.896838;0.896838;0.896838;0.896838;0.896838;
0.818461;0.818461;0.818461;0.818461;0.818461;
0.829346;0.829346;0.829346;0.829346;0.829346;
0.803193;0.803193;0.803193;0.803193;0.803193;
0.784778;0.784778;0.784778;0.784778;0.784778;
0.838837;0.838837;0.838837;0.838837;0.838837;
0.768569;0.768569;0.768569;0.768569;0.768569;
0.720954;0.720954;0.720954;0.720954;0.720954;
0.702136;0.702136;0.702136;0.702136;0.702136;
0.640698;0.640698;0.640698;0.640698;0.640698;
0.628609;0.628609;0.628609;0.628609;0.628609;
0.715112;0.715112;0.715112;0.715112;0.715112;
0.736882;0.736882;0.736882;0.736882;0.736882;
0.680623;0.680623;0.680623;0.680623;0.680623;
0.733881;0.733881;0.733881;0.733881;0.733881;
0.712748;0.712748;0.712748;0.712748;0.712748;
0.6579;0.6579;0.6579;0.6579;0.6579;
0.73958;0.73958;0.73958;0.73958;0.73958;
0.675569;0.675569;0.675569;0.675569;0.675569;
0.651771;0.651771;0.651771;0.651771;0.651771;
0.664392;0.664392;0.664392;0.664392;0.664392;
0.71055;0.71055;0.71055;0.71055;0.71055;
0.776474;0.776474;0.776474;0.776474;0.776474;
0.713853;0.713853;0.713853;0.713853;0.713853;
0.735984;0.735984;0.735984;0.735984;0.735984;
0.684332;0.684332;0.684332;0.684332;0.684332;
0.685502;0.685502;0.685502;0.685502;0.685502;
0.645685;0.645685;0.645685;0.645685;0.645685;
0.657507;0.657507;0.657507;0.657507;0.657507;
0.615006;0.615006;0.615006;0.615006;0.615006;
0.591538;0.591538;0.591538;0.591538;0.591538;
0.541497;0.541497;0.541497;0.541497;0.541497;
0.519874;0.519874;0.519874;0.519874;0.519874;
0.548699;0.548699;0.548699;0.548699;0.548699;
0.630991;0.630991;0.630991;0.630991;0.630991;
0.721486;0.721486;0.721486;0.721486;0.721486;
0.659386;0.659386;0.659386;0.659386;0.659386;
0.612781;0.612781;0.612781;0.612781;0.612781;
0.561251;0.561251;0.561251;0.561251;0.561251;
0.589781;0.589781;0.589781;0.589781;0.589781;
0.670596;0.670596;0.670596;0.670596;0.670596;
0.614647;0.614647;0.614647;0.614647;0.614647;
0.671496;0.671496;0.671496;0.671496;0.671496;
0.748349;0.748349;0.748349;0.748349;0.748349;
0.685821;0.685821;0.685821;0.685821;0.685821;
0.637431;0.637431;0.637431;0.637431;0.637431;
0.654292;0.654292;0.654292;0.654292;0.654292;
0.605203;0.605203;0.605203;0.605203;0.605203;
0.691746;0.691746;0.691746;0.691746;0.691746;
0.706376;0.706376;0.706376;0.706376;0.706376;
0.66254;0.66254;0.66254;0.66254;0.66254;
0.720062;0.720062;0.720062;0.720062;0.720062;
0.820679;0.820679;0.820679;0.820679;0.820679;
0.767285;0.767285;0.767285;0.767285;0.767285;
0.857185;0.857185;0.857185;0.857185;0.857185;
0.795163;0.795163;0.795163;0.795163;0.795163;
0.731894;0.731894;0.731894;0.731894;0.731894;
0.818747;0.818747;0.818747;0.818747;0.818747;
0.884185;0.884185;0.884185;0.884185;0.884185;
0.969539;0.969539;0.969539;0.969539;0.969539;
1.01294;1.01294;1.01294;1.01294;1.01294;
0.918624;0.918624;0.918624;0.918624;0.918624;
0.833348;0.833348;0.833348;0.833348;0.833348;
0.784595;0.784595;0.784595;0.784595;0.784595;
0.750966;0.750966;0.750966;0.750966;0.750966;
