ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:2;0.0149164;188;44.9322;39.255;51.0898;0.670227;0.585544;0.762078;56.2922;48.9894;63.8919;0.839679;0.730746;0.953039;30.4124;26.8848;34.0033;0.453643;0.401025;0.507207;14.0879;14.0795;14.0963;0.21014;0.210016;0.210266; ;181.6368;2.70936716352
phase:0;0.0167408;210;48.8948;41.1135;60.3981;0.818538;0.688274;1.01111;61.3004;51.0132;75.545;1.02622;0.854001;1.26468;33.1032;27.5231;41.4798;0.554173;0.460758;0.694404;14.091;14.0826;14.0993;0.235895;0.235753;0.236034; ;193.2984;3.23596985472
phase:1;0.000357389;6;51.4706;48.3741;55.2196;0.018395;0.0172884;0.0197349;63.5899;59.8444;68.5607;0.0227264;0.0213877;0.0245029;33.898;32.0704;36.294;0.0121148;0.0114616;0.0129711;14.0878;14.0856;14.0902;0.00503482;0.00503405;0.00503568; ;198.9585;0.0711055793565
phase:2;0.0202854;254;48.2042;40.8769;57.5332;0.97784;0.829202;1.16708;60.4476;50.9362;74.6151;1.2262;1.03326;1.51359;32.6441;27.3316;39.6271;0.662198;0.554431;0.803851;14.0913;14.081;14.1024;0.285847;0.285639;0.286072; ;191.2959;3.88051384986
phase:0;0.0266743;335;53.5503;40.8513;75.3719;1.42841;1.08968;2.01049;67.184;51.2062;94.6915;1.79209;1.36589;2.52583;36.2276;27.6234;50.8672;0.966345;0.736833;1.35685;14.0944;14.0787;14.1115;0.375957;0.37554;0.376415; ;206.9619;5.52056380917
phase:1;0.000202417;3;67.3778;63.1123;69.6001;0.0136384;0.012775;0.0140883;84.3573;78.8086;87.4897;0.0170754;0.0159522;0.0177094;46.1238;43.3116;47.617;0.00933625;0.00876702;0.0096385;14.0917;14.0917;14.0917;0.00285241;0.00285241;0.00285241; ;247.8589;0.0501708549613
phase:2;0.0322459;404;53.0492;40.5208;69.5254;1.71062;1.30663;2.24191;66.6042;49.9942;90.8673;2.14771;1.61211;2.93009;35.9229;27.3854;49.9631;1.15837;0.883065;1.6111;14.0897;14.0787;14.1054;0.454336;0.453981;0.454842; ;205.5763;6.62899281217
phase:0;0.00555325;71;43.2823;39.9823;45.8975;0.240357;0.222032;0.25488;54.1412;49.9222;57.5679;0.300659;0.27723;0.319689;29.2671;27.3018;31.0994;0.162527;0.151613;0.172703;14.0941;14.0887;14.1009;0.078268;0.0782378;0.0783055; ;176.6906;0.98120707445
phase:1;0.007375;93;41.725;40.5241;43.8157;0.307722;0.298865;0.323141;52.2839;50.4222;55.4721;0.385594;0.371864;0.409107;28.2462;27.3073;29.8265;0.208316;0.201392;0.21997;14.0842;14.0787;14.0887;0.103871;0.103831;0.103904; ;172.2551;1.2703813625
phase:2;0.00661039;84;42.6146;39.8625;47.1947;0.281699;0.263507;0.311976;53.4418;49.3112;59.8242;0.353271;0.325967;0.395461;28.8821;26.5351;32.3403;0.190922;0.175407;0.213782;14.09;14.0818;14.0986;0.0931404;0.0930862;0.0931971; ;174.9385;1.156411711015
